ROOM SPRAY PRICE LIST (250ML)
ELEPHANT JUMBO JOY ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
MONKEY MIRTHFUL MINGLE ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
MERCURY MELT ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
PLUTO POP ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
NEBULA NECTAR ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
SATURN SWIRL ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
JOVIAL JUPIFIZZ ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
MARS MIST ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
VELVET VENUS ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
URANUS UPLIFT ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
SUNNY FIZZ ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht
EARTH EMBRACE ROOM SPRAY 250ML - Retail: 150 Baht | 1-100pcs: 92 Baht | 101-500pcs: 85 Baht | 501-1000pcs: 64 Baht | 1001-5000pcs: 58 Baht

